z, massflux, p, T, rho, M, alpha, dS, P_tot, T_tot
0.0775819397993, 123.129948533, 129999.118368, 293.380983936, 1.54338752277, 0.384688076666, -48.9295304713, 1.72742418147, 143681.521901, 302.249577549
0.0784147157191, 123.292715099, 129911.464953, 293.325921101, 1.5426303831, 0.379534440403, -48.0675091663, 1.73448274038, 143219.209669, 301.956478603
0.0792474916388, 123.459071086, 129812.510258, 293.263523874, 1.54177659901, 0.374361509814, -47.1702543711, 1.7417757065, 142748.804389, 301.658483054
0.0800802675585, 123.639200518, 129702.69391, 293.193798657, 1.54083148223, 0.369168587997, -46.2346271429, 1.74826265156, 142270.782517, 301.355494058
0.0809130434783, 123.8409391, 129580.945012, 293.116524362, 1.53978343145, 0.363966870095, -45.2582279366, 1.7556022024, 141784.670151, 301.047665468
0.081745819398, 124.067327927, 129448.071103, 293.031934707, 1.53864088755, 0.358753297639, -44.2385447694, 1.76275582858, 141291.121222, 300.734996259
0.0825785953177, 124.319742104, 129304.150133, 292.940156708, 1.53740409771, 0.353535695176, -43.1743891282, 1.77000439789, 140790.757458, 300.417903605
0.0834113712375, 124.600026791, 129149.199041, 292.841243265, 1.53607299084, 0.348327592674, -42.065001255, 1.77748876973, 140284.44341, 300.09693012
0.0842441471572, 124.910185237, 128983.463583, 292.735222636, 1.53465017932, 0.343134596512, -40.9080506084, 1.78481990613, 139772.755331, 299.772262467
0.0850769230769, 125.248902255, 128807.25215, 292.622333192, 1.53313799447, 0.337971116813, -39.7035045377, 1.79214863708, 139256.821807, 299.444608576
0.0859096989967, 125.604855726, 128621.13029, 292.503032123, 1.53154059591, 0.332850303237, -38.4531958218, 1.79984347903, 138737.867994, 299.114789747
0.0867424749164, 125.948474272, 128426.755183, 292.37839132, 1.52987194157, 0.327770589864, -37.1620894316, 1.80794019053, 138217.449728, 298.783716686
0.0875752508361, 126.244215544, 128226.378917, 292.249723585, 1.52815187155, 0.322716500573, -35.8356805726, 1.81596970006, 137697.052977, 298.452100741
0.0884080267559, 126.446108491, 128022.628608, 292.118981316, 1.52640155873, 0.31765818102, -34.4822757688, 1.82469491646, 137177.906116, 298.120873559
0.0892408026756, 126.510052618, 127818.955062, 291.988383727, 1.52465082887, 0.312557036896, -33.1101959557, 1.83390619668, 136661.851201, 297.79110069
0.0900735785953, 126.397800021, 127617.798744, 291.859505097, 1.52292082165, 0.307370545442, -31.7251235831, 1.84345568616, 136149.702796, 297.46326542
0.0909063545151, 126.097515974, 127421.084597, 291.733491785, 1.52122910211, 0.30206442443, -30.3273482027, 1.852748836, 135642.230652, 297.137739383
0.0917391304348, 125.615226952, 127229.465395, 291.61103454, 1.51958028363, 0.296637985372, -28.9177254161, 1.86254307816, 135140.58321, 296.815587204
0.0925719063545, 124.955202308, 127043.451898, 291.492390046, 1.51797943379, 0.291097441352, -27.4965067311, 1.87249082199, 134646.061236, 296.497634491
0.0934046822742, 124.121606425, 126863.663778, 291.378012596, 1.5164318063, 0.285451633893, -26.0653975813, 1.8826693262, 134160.111854, 296.18492925
0.094237458194, 123.116187177, 126690.855369, 291.268473981, 1.5149437607, 0.279706913602, -24.626849918, 1.89325311865, 133684.139528, 295.878511256
0.0950702341137, 121.942476382, 126526.261925, 291.164529349, 1.51352637578, 0.273870946991, -23.1851004953, 1.90392467721, 133220.035189, 295.579598154
