X, P, T, M, alpha, eta, rhou_x, Vx, P_tot, T_tot
0.142341137124, 121048.674452, 287.438875792, 0.267469733036, -2.05001312234, 1.55628244279, 132.934515923, 90.7587895064, 127119.281545, 291.557634322
0.143177257525, 120813.530055, 287.26633471, 0.273047412031, -0.938024498346, 1.51153197088, 135.520183118, 92.6712248691, 127129.107617, 291.557284377
0.144013377926, 120587.190426, 287.100254242, 0.278416239795, 0.132321900347, 1.46845703343, 138.105847099, 94.5120496213, 127138.565878, 291.556947592
0.144849498328, 120344.32998, 286.940740783, 0.283417074221, 1.31850475144, 1.48924084733, 140.295035629, 96.1461270666, 127119.621412, 291.556676587
0.145685618729, 120097.042351, 286.786141468, 0.288191046089, 2.54209180966, 1.53844580139, 142.29727306, 97.6672291256, 127088.155479, 291.556438482
0.14652173913, 119856.617167, 286.635832403, 0.29283253556, 3.73171938816, 1.58628522337, 144.299507671, 99.1461185063, 127057.562827, 291.556207028
0.147357859532, 119650.529752, 286.491115264, 0.297152792577, 4.94473175788, 1.57320264841, 145.921772919, 100.389167683, 127053.68647, 291.556001688
0.148193979933, 119454.764683, 286.349816604, 0.301339088778, 6.14361793047, 1.54772600911, 147.462607202, 101.564015358, 127055.395617, 291.555804982
0.149030100334, 119263.048523, 286.211440326, 0.305438801867, 7.31770629359, 1.52277620047, 149.003438772, 102.714564065, 127057.069492, 291.555612378
0.149866220736, 119024.349108, 286.041646402, 0.31030120516, 8.70903203903, 1.50234592233, 150.510951221, 103.905640926, 127053.835913, 291.555409768
0.150702341137, 118768.237439, 285.860319284, 0.315435556271, 10.1777479553, 1.48406118239, 152.003841057, 105.101054753, 127048.54831, 291.555205113
0.151538461538, 118517.107859, 285.682519496, 0.320470028765, 11.6178925237, 1.46613216486, 153.49672766, 106.273214117, 127043.363588, 291.55500447
0.15237458194, 118252.662284, 285.495455527, 0.325671939372, 13.1588029352, 1.44911812872, 154.818628377, 107.334943259, 127036.595571, 291.55482683
0.153210702341, 117949.713416, 285.281510016, 0.33141523487, 14.9770452892, 1.43367661809, 155.740076392, 108.176624557, 127026.001952, 291.554696303
